scen,Offshore,Onshore,PV,Battery,Methanation
1,31.2639559,29.76986477,14.46303308,35.93499218,113.7000766
2,31.29251698,29.77276059,14.46279673,45.01785059,158.7040564
3,31.29305623,29.7728802,14.46319154,58.24407816,202.3920257
4,#DIV/0!,29.77201297,14.46360406,64.02651185,125.5514023
5,31.29994165,29.77017232,14.4633008,75.64858677,172.6169009
6,31.29391827,29.77247863,14.46398698,100.4425882,217.7279365
7,#DIV/0!,29.7709442,14.46333727,99.81494661,130.8229665
8,31.28537898,29.77236342,14.46417401,119.7380822,179.0420494
9,31.28601192,29.7710925,14.46287852,160.0949057,226.2882437
10,31.26383769,29.77076211,21.02588537,46.53177904,120.9589388
11,31.29439579,29.77178039,21.02651706,56.38313516,163.9474154
12,31.29026491,29.77293024,21.02634653,81.9612178,213.353503
13,31.2797202,29.77129425,21.02598788,92.48279911,131.6902819
14,31.27537295,29.77079659,21.02527854,101.8125592,180.8534641
15,31.28720859,29.7699389,21.02607253,136.6160912,223.7242217
16,#DIV/0!,29.77039702,21.02672057,133.4207582,133.7922888
17,31.29500672,29.7720362,21.02591594,155.5828912,185.4641275
18,31.28738696,29.77018623,21.02544579,190.1387623,230.218113
19,31.28739623,29.7731065,27.58960021,69.61867981,130.9037379
20,31.27490777,29.7708578,27.58965024,77.05202854,174.0557072
21,31.28948815,29.77080376,27.58849283,103.27541,217.7445581
22,31.27193958,29.7709935,27.5875501,120.3019044,132.2779227
23,31.28635483,29.77214065,27.59021592,145.9029175,182.3045898
24,31.28194758,29.76999838,27.58735714,168.0970886,226.1165181
25,31.28091728,29.77254296,27.58907571,195.3162226,136.826854
26,31.26889066,29.77253671,27.58741344,206.4705769,189.3052758
27,31.28874125,29.77026226,27.58803032,237.8134342,233.6972144
28,31.28494614,29.77111137,34.1537126,96.01366571,136.2204891
29,31.28494614,29.7699198,34.15313467,111.5361279,184.1616086
30,31.28494614,29.77291393,34.14869368,124.3398443,223.5033137
31,31.28016935,29.77266348,34.14945304,177.1009424,135.3283367
32,31.27679948,29.77216998,34.15217874,179.8298296,186.5911435
33,31.27946987,29.77112649,34.15278223,217.2201445,231.8118105
34,31.24994143,29.77175808,34.15462485,287.4750099,138.0852628
35,31.28351089,29.77106788,34.15367178,266.1935653,189.6854266
