"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"0",0.0000000000,5.0053538E+1,0.0000000000,3.5965470750,0.0000000000,0.0000000000,0.0000000000,0.0073482455,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8690014E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,3.8752165E+1,0.0000000000,1.0097959E+4,0.0000000000,0.0000000000,0.0000000000
"1",0.0000000000,5.1639000E+1,0.0000000000,3.3587712000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1208458E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,4.0672500E+1,0.0000000000,1.0110138E+4,0.0000000000,0.0000000000,0.0000000000
"2",0.0000000000,5.2623338E+1,0.0000000000,3.2286674250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7699606E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,4.2601000E+1,0.0000000000,1.0122317E+4,0.0000000000,0.0000000000,0.0000000000
"3",0.0000000000,5.2975262E+1,0.0000000000,3.0978159000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7987488E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,4.4529500E+1,0.0000000000,1.0134496E+4,0.0000000000,0.0000000000,0.0000000000
"4",0.0000000000,5.2698096E+1,0.0000000000,2.9482713000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8162673E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,4.6458000E+1,0.0000000000,1.0146674E+4,0.0000000000,0.0000000000,0.0000000000
"5",0.0000000000,5.2945619E+1,0.0000000000,2.8929398250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8021363E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,4.8386500E+1,0.0000000000,1.0158853E+4,0.0000000000,0.0000000000,0.0000000000
"6",0.0000000000,5.3105180E+1,0.0000000000,2.8099425750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.9001647E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,5.0315000E+1,0.0000000000,1.0171032E+4,0.0000000000,0.0000000000,0.0000000000
"7",0.0000000000,5.3246749E+1,0.4436180062,2.6028233250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7781675E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,5.2243500E+1,0.0000000000,1.0183211E+4,0.0000000000,0.0000000000,0.0000000000
"8",0.0000000000,5.2671405E+1,6.7064249593,2.5953461250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1135381E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,5.4172000E+1,0.0000000000,1.0195390E+4,0.0000000000,0.0000000000,0.0000000000
"9",0.0000000000,5.0297153E+1,1.7367888E+1,2.7546111000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7234866E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.522366E+1,0.0000000000,0.0000000000,5.6100500E+1,1.0270667657,1.0207569E+4,0.0000000000,0.0000000000,0.0000000000
