"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"0",3.0731913018,4.6860065E+1,0.0000000000,3.5965470750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8690014E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,3.2958500E+1,0.0000000000,1.5960965E+4,0.0000000000,0.0000000000,0.0000000000
"1",3.1259673749,4.8344373E+1,0.0000000000,3.3587712000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1208458E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,3.4887000E+1,0.0000000000,1.5971385E+4,0.0000000000,0.0000000000,0.0000000000
"2",3.1259673749,4.9265910E+1,0.0000000000,3.2286674250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7699606E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,3.6815500E+1,0.0000000000,1.5981805E+4,0.0000000000,0.0000000000,0.0000000000
"3",3.1026241105,4.9595380E+1,0.0000000000,3.0978159000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7987488E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,3.8744000E+1,0.0000000000,1.5992225E+4,0.0000000000,0.0000000000,0.0000000000
"4",3.0265047766,4.9335898E+1,0.0000000000,2.9482713000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8162673E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,4.0672500E+1,0.0000000000,1.6002645E+4,0.0000000000,0.0000000000,0.0000000000
"5",2.9569824487,4.9567628E+1,0.0000000000,2.8929398250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8021363E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,4.2601000E+1,0.0000000000,1.6013065E+4,0.0000000000,0.0000000000,0.0000000000
"6",2.9153705479,4.9717010E+1,0.0000000000,2.8099425750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.9001647E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,4.4529500E+1,0.0000000000,1.6023485E+4,0.0000000000,0.0000000000,0.0000000000
"7",2.8717287931,4.9849546E+1,0.4536473248,2.6028233250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7781675E+1,-0.203000E+1,-0.203000E+1,0.0000000000,-1.302502E+1,0.0000000000,0.0000000000,4.6458000E+1,1.0626224250,1.6033905E+4,0.0000000000,0.0000000000,0.0000000000
"8",2.8636093983,4.9310910E+1,6.8580438561,2.5953461250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.2400000000,0.0000000000,0.0000000000,0.0000000000,3.1135381E+1,-0.203000E+1,-0.203000E+1,-1.553751E+1,-1.302502E+1,0.0000000000,0.0000000000,4.8386500E+1,1.0626224250,1.6044325E+4,0.0000000000,0.0000000000,0.0000000000
"9",2.8275795800,4.7088137E+1,1.7760542E+1,2.7546111000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5460601825,0.0000000000,0.0000000000,0.0000000000,3.7234866E+1,-0.203000E+1,-0.203000E+1,-1.868705E+1,-1.302502E+1,0.0000000000,1.3983759E+1,5.0315000E+1,0.6067335361,1.6054745E+4,0.0000000000,0.0000000000,0.0000000000
