"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"0",1.4400895E+1,3.9118101E+1,0.0000000000,3.5965470750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8690014E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,9.6425000000,0.0000000000,0.0000000000,2.8350336E+3,0.0000000000,0.0000000000
"1",1.4648202E+1,4.0357179E+1,0.0000000000,3.3587712000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1208458E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,1.1571000E+1,0.0000000000,0.0000000000,2.8389289E+3,0.0000000000,0.0000000000
"2",1.4648202E+1,4.1126464E+1,0.0000000000,3.2286674250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7699606E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,1.3499500E+1,0.0000000000,0.0000000000,2.8428242E+3,0.0000000000,0.0000000000
"3",1.4538816E+1,4.1401502E+1,0.0000000000,3.0978159000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7987488E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,1.5428000E+1,0.0000000000,0.0000000000,2.8467195E+3,0.0000000000,0.0000000000
"4",1.4182123E+1,4.1184889E+1,0.0000000000,2.9482713000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8162673E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,1.7356500E+1,0.0000000000,0.0000000000,2.8506148E+3,0.0000000000,0.0000000000
"5",1.3856343E+1,4.1378335E+1,0.0000000000,2.8929398250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.8021363E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,1.9285000E+1,0.0000000000,0.0000000000,2.8545101E+3,0.0000000000,0.0000000000
"6",1.3661351E+1,4.1503036E+1,0.0000000000,2.8099425750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.9001647E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,2.1213500E+1,0.0000000000,0.0000000000,2.8584055E+3,0.0000000000,0.0000000000
"7",1.3456847E+1,4.1613676E+1,0.4872054409,2.6028233250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.7781675E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,2.3142000E+1,0.0000000000,0.0000000000,2.8623008E+3,0.0000000000,0.0000000000
"8",1.3418800E+1,4.1164030E+1,7.3653609275,2.5953461250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1135381E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,2.5070500E+1,0.0000000000,0.0000000000,2.8661961E+3,0.0000000000,0.0000000000
"9",1.3249965E+1,3.9308492E+1,1.9074361E+1,2.7546111000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.7234866E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,0.0000000000,2.6999000E+1,0.0000000000,0.0000000000,2.8700914E+3,0.0000000000,0.0000000000
