scen,Offshore,Onshore,PV,Hydro,Biogas,Battery,PHS,Methanation
1,3.00%,37.32%,24.30%,1.78%,13.78%,9.50%,1.46%,8.85%
2,10.37%,33.27%,22.18%,1.72%,14.28%,8.66%,1.42%,8.10%
3,13.86%,33.32%,22.19%,1.73%,12.57%,8.58%,1.43%,6.31%
4,0.00%,46.72%,18.71%,1.70%,14.07%,7.84%,1.40%,9.57%
5,5.82%,42.59%,18.06%,1.64%,14.79%,7.41%,1.35%,8.34%
6,10.38%,41.42%,18.63%,1.67%,12.57%,8.01%,1.38%,5.94%
7,0.00%,49.96%,16.41%,1.66%,14.41%,5.36%,1.37%,10.83%
8,7.60%,44.98%,15.74%,1.61%,15.15%,5.54%,1.33%,8.07%
9,12.45%,43.84%,16.19%,1.64%,13.01%,5.86%,1.35%,5.66%
10,4.54%,41.12%,23.44%,1.62%,13.10%,6.12%,1.34%,8.73%
11,10.37%,35.93%,23.39%,1.57%,13.57%,6.48%,1.29%,7.40%
12,15.53%,35.08%,22.93%,1.59%,11.79%,6.38%,1.31%,5.37%
13,5.56%,45.67%,18.73%,1.58%,13.49%,4.13%,1.30%,9.54%
14,12.24%,39.03%,18.87%,1.52%,14.34%,4.48%,1.26%,8.25%
15,15.81%,39.43%,19.56%,1.56%,12.03%,5.19%,1.28%,5.13%
16,0.00%,52.09%,17.73%,1.56%,13.66%,3.53%,1.28%,10.14%
17,7.74%,45.56%,17.46%,1.51%,14.41%,3.76%,1.24%,8.33%
18,9.00%,47.13%,18.42%,1.53%,12.29%,4.50%,1.26%,5.86%
19,15.62%,34.53%,21.56%,1.52%,12.82%,3.92%,1.25%,8.78%
20,13.58%,36.37%,22.31%,1.48%,13.22%,4.43%,1.22%,7.40%
21,14.56%,38.81%,22.79%,1.50%,11.26%,4.68%,1.24%,5.16%
22,4.61%,47.45%,19.44%,1.50%,12.78%,3.62%,1.23%,9.36%
23,8.61%,44.74%,18.96%,1.45%,13.33%,3.82%,1.20%,7.90%
24,12.60%,43.84%,19.85%,1.48%,11.32%,4.01%,1.22%,5.70%
25,1.51%,52.30%,17.80%,1.48%,13.20%,2.28%,1.22%,10.20%
26,7.42%,47.14%,18.02%,1.44%,13.88%,2.64%,1.18%,8.27%
27,10.24%,47.73%,18.69%,1.46%,11.83%,3.03%,1.20%,5.82%
28,15.18%,37.91%,19.83%,1.45%,12.59%,2.77%,1.19%,9.08%
29,14.75%,38.46%,20.52%,1.41%,12.94%,3.27%,1.16%,7.49%
30,14.98%,41.09%,21.22%,1.43%,10.86%,3.71%,1.18%,5.51%
31,4.22%,50.67%,17.81%,1.44%,12.47%,2.29%,1.18%,9.92%
32,11.03%,43.98%,18.43%,1.39%,12.97%,2.91%,1.15%,8.13%
33,10.75%,47.55%,19.25%,1.42%,10.85%,3.07%,1.17%,5.95%
34,3.12%,52.70%,16.71%,1.43%,12.76%,1.58%,1.18%,10.53%
35,6.95%,49.63%,17.26%,1.39%,13.20%,2.16%,1.14%,8.28%
36,7.51%,51.89%,18.28%,1.41%,11.21%,2.26%,1.16%,6.29%
37,14.64%,41.49%,17.52%,1.40%,12.32%,1.89%,1.15%,9.59%
38,14.21%,41.22%,18.81%,1.36%,12.86%,2.67%,1.12%,7.76%
39,14.51%,44.68%,19.32%,1.39%,10.53%,3.32%,1.14%,5.12%
40,7.61%,50.07%,15.57%,1.39%,12.35%,1.58%,1.15%,10.30%
41,9.10%,48.21%,17.69%,1.35%,12.71%,2.04%,1.11%,7.78%
42,11.30%,49.71%,17.68%,1.37%,10.59%,2.15%,1.13%,6.06%
43,7.31%,51.23%,14.64%,1.39%,12.32%,1.48%,1.14%,10.50%
44,8.68%,49.58%,16.46%,1.34%,13.01%,1.50%,1.11%,8.32%
45,11.14%,50.18%,16.91%,1.36%,11.10%,2.18%,1.12%,6.02%
46,0.00%,40.07%,24.40%,1.78%,13.75%,9.61%,1.46%,8.92%
47,0.00%,42.75%,23.13%,1.72%,14.06%,8.73%,1.42%,8.19%
48,0.00%,46.99%,22.31%,1.73%,12.49%,8.24%,1.42%,6.82%
49,0.00%,46.64%,18.73%,1.70%,14.07%,7.87%,1.40%,9.59%
50,0.00%,48.11%,18.35%,1.64%,14.59%,7.72%,1.35%,8.23%
51,0.00%,51.59%,18.76%,1.67%,12.43%,8.06%,1.37%,6.11%
52,0.00%,49.98%,16.42%,1.66%,14.39%,5.36%,1.37%,10.83%
53,0.00%,53.14%,15.77%,1.61%,14.91%,5.14%,1.33%,8.11%
54,0.00%,56.79%,15.96%,1.63%,12.88%,5.18%,1.35%,6.21%
55,0.00%,45.66%,23.61%,1.62%,13.17%,5.78%,1.33%,8.82%
56,0.00%,46.80%,23.59%,1.57%,13.42%,6.05%,1.30%,7.26%
57,0.00%,50.14%,23.36%,1.59%,11.62%,6.12%,1.31%,5.86%
58,0.00%,51.15%,18.69%,1.58%,13.45%,4.10%,1.30%,9.74%
59,0.00%,51.73%,18.97%,1.53%,14.00%,4.57%,1.26%,7.95%
60,0.00%,55.28%,19.47%,1.55%,11.82%,5.07%,1.28%,5.52%
61,0.00%,52.13%,17.73%,1.56%,13.59%,3.53%,1.28%,10.17%
62,0.00%,53.36%,17.54%,1.51%,14.28%,3.61%,1.24%,8.47%
63,0.00%,56.60%,18.35%,1.53%,12.10%,4.51%,1.26%,5.64%
64,0.00%,49.30%,22.63%,1.52%,12.65%,4.05%,1.25%,8.59%
65,0.00%,49.43%,23.15%,1.47%,13.05%,4.25%,1.21%,7.45%
66,0.00%,52.74%,23.38%,1.49%,11.15%,4.57%,1.23%,5.45%
67,0.00%,52.28%,19.44%,1.50%,12.72%,3.34%,1.23%,9.49%
68,0.00%,53.44%,19.36%,1.45%,12.99%,3.39%,1.20%,8.17%
69,0.00%,54.10%,21.12%,1.47%,11.14%,4.05%,1.21%,6.91%
70,0.00%,53.87%,17.88%,1.49%,12.99%,2.33%,1.22%,10.21%
71,0.00%,53.17%,19.12%,1.44%,13.16%,3.21%,1.19%,8.72%
72,0.00%,53.51%,21.20%,1.45%,11.15%,4.47%,1.19%,7.02%
73,0.00%,52.96%,19.94%,1.45%,12.31%,2.58%,1.19%,9.57%
74,0.00%,51.83%,21.52%,1.40%,12.71%,3.15%,1.16%,8.23%
75,0.00%,52.49%,24.37%,1.42%,10.60%,4.16%,1.17%,5.79%
76,0.00%,53.06%,19.72%,1.44%,12.20%,2.47%,1.18%,9.92%
77,0.00%,51.38%,22.06%,1.39%,12.28%,3.06%,1.15%,8.68%
78,0.00%,51.48%,24.14%,1.39%,10.52%,3.83%,1.15%,7.49%
79,0.00%,52.76%,19.77%,1.43%,12.31%,2.25%,1.18%,10.30%
80,0.00%,51.05%,22.02%,1.38%,12.10%,3.35%,1.14%,8.95%
81,0.22%,50.83%,23.26%,1.38%,10.58%,3.96%,1.13%,8.64%
82,0.00%,51.55%,21.86%,1.40%,11.79%,2.62%,1.15%,9.63%
83,0.00%,49.92%,24.12%,1.35%,11.90%,3.21%,1.11%,8.39%
84,0.00%,50.11%,26.43%,1.36%,10.04%,4.07%,1.12%,6.87%
85,0.00%,51.13%,22.13%,1.38%,11.67%,2.28%,1.14%,10.26%
86,1.20%,49.39%,23.72%,1.34%,11.61%,2.74%,1.10%,8.91%
87,2.62%,49.29%,24.08%,1.33%,10.06%,2.86%,1.10%,8.66%
88,0.00%,50.83%,21.87%,1.38%,11.74%,2.16%,1.13%,10.89%
89,2.70%,49.00%,22.18%,1.33%,11.73%,2.76%,1.09%,9.21%
90,3.86%,48.88%,23.07%,1.32%,10.26%,3.03%,1.09%,8.49%
91,17.52%,17.71%,27.28%,1.67%,12.20%,12.65%,1.38%,9.58%
92,16.89%,20.98%,26.29%,1.61%,12.23%,11.82%,1.33%,8.85%
93,16.78%,22.97%,26.13%,1.60%,11.08%,11.86%,1.32%,8.24%
94,16.45%,25.98%,21.88%,1.57%,12.52%,10.86%,1.29%,9.44%
95,15.92%,25.93%,22.21%,1.52%,12.47%,12.06%,1.25%,8.65%
96,15.91%,28.02%,22.36%,1.52%,10.89%,12.36%,1.25%,7.69%
97,15.86%,31.46%,18.41%,1.52%,12.61%,8.00%,1.25%,10.90%
98,15.34%,32.52%,18.18%,1.47%,12.63%,9.51%,1.21%,9.14%
99,15.30%,34.04%,18.53%,1.46%,11.28%,10.11%,1.20%,8.07%
100,15.77%,24.87%,28.35%,1.51%,11.49%,8.68%,1.24%,8.09%
101,15.25%,26.84%,27.26%,1.46%,11.58%,7.93%,1.20%,8.49%
102,15.17%,29.64%,26.63%,1.45%,10.46%,7.46%,1.19%,8.01%
103,15.09%,31.37%,22.67%,1.44%,11.74%,7.17%,1.19%,9.34%
104,14.61%,31.35%,23.11%,1.40%,11.76%,8.22%,1.15%,8.42%
105,14.61%,33.75%,23.19%,1.40%,10.34%,8.11%,1.15%,7.46%
106,14.79%,35.66%,19.71%,1.41%,11.83%,5.45%,1.16%,9.99%
107,14.27%,36.69%,19.47%,1.36%,12.05%,5.98%,1.12%,9.06%
108,14.27%,39.55%,19.52%,1.36%,10.66%,5.99%,1.12%,7.52%
109,14.57%,31.14%,26.76%,1.39%,10.99%,5.53%,1.15%,8.46%
110,14.12%,31.34%,27.06%,1.35%,11.09%,5.78%,1.11%,8.14%
111,14.09%,33.18%,27.24%,1.35%,9.81%,6.00%,1.11%,7.22%
112,14.18%,35.97%,22.22%,1.35%,11.17%,4.76%,1.12%,9.23%
113,13.71%,35.93%,22.67%,1.31%,11.26%,5.43%,1.08%,8.61%
114,13.71%,38.01%,22.99%,1.31%,9.89%,5.50%,1.08%,7.52%
115,13.97%,37.48%,20.96%,1.34%,11.39%,4.12%,1.10%,9.65%
116,13.51%,38.75%,20.70%,1.29%,11.46%,4.67%,1.06%,8.54%
117,13.51%,41.02%,20.88%,1.29%,10.06%,4.84%,1.06%,7.33%
118,13.76%,35.32%,25.39%,1.32%,10.56%,4.00%,1.08%,8.58%
119,13.30%,35.12%,26.01%,1.27%,10.80%,4.36%,1.05%,8.08%
120,13.34%,37.43%,26.66%,1.28%,9.33%,4.71%,1.05%,6.21%
121,13.49%,38.52%,22.01%,1.29%,10.71%,3.70%,1.06%,9.21%
122,13.06%,40.06%,21.70%,1.25%,10.99%,3.56%,1.03%,8.36%
123,13.07%,41.88%,22.34%,1.25%,9.45%,3.89%,1.03%,7.09%
124,13.34%,40.38%,20.37%,1.27%,11.23%,2.39%,1.05%,9.97%
125,12.95%,41.03%,20.98%,1.24%,11.04%,3.60%,1.02%,8.14%
126,12.91%,42.57%,21.14%,1.23%,9.74%,3.74%,1.02%,7.66%
127,13.16%,38.29%,24.28%,1.26%,10.31%,3.23%,1.04%,8.44%
128,12.73%,39.13%,23.88%,1.22%,10.59%,3.46%,1.00%,7.99%
129,12.75%,40.74%,25.16%,1.22%,9.09%,3.82%,1.00%,6.21%
130,12.98%,41.07%,21.27%,1.24%,10.40%,3.08%,1.02%,8.93%
131,12.59%,41.78%,21.73%,1.20%,10.46%,3.21%,0.99%,8.04%
132,12.56%,43.27%,22.07%,1.20%,9.09%,3.29%,0.99%,7.53%
133,12.89%,42.53%,19.94%,1.23%,10.73%,2.03%,1.01%,9.65%
134,12.47%,43.51%,20.13%,1.19%,10.82%,2.38%,0.98%,8.52%
135,12.46%,44.89%,20.72%,1.19%,9.38%,2.69%,0.98%,7.70%
136,0.00%,38.70%,26.00%,1.60%,11.49%,11.84%,1.31%,9.06%
137,0.00%,40.64%,25.06%,1.54%,11.40%,11.59%,1.27%,8.49%
138,1.10%,41.54%,24.86%,1.53%,10.23%,11.58%,1.26%,7.90%
139,0.00%,42.50%,22.25%,1.50%,11.35%,11.79%,1.24%,9.38%
140,0.00%,43.52%,21.34%,1.45%,11.64%,11.45%,1.19%,9.41%
141,8.90%,37.47%,21.61%,1.45%,10.19%,11.81%,1.19%,7.39%
142,0.00%,49.25%,17.82%,1.45%,11.72%,8.00%,1.19%,10.57%
143,1.17%,48.51%,17.62%,1.40%,11.83%,9.36%,1.15%,8.97%
144,8.16%,44.20%,17.55%,1.40%,10.54%,9.37%,1.15%,7.64%
145,0.10%,41.50%,28.11%,1.44%,10.69%,8.79%,1.19%,8.20%
146,4.36%,39.76%,26.51%,1.39%,10.79%,7.70%,1.15%,8.34%
147,11.26%,35.47%,25.75%,1.38%,9.73%,7.46%,1.14%,7.80%
148,0.00%,47.44%,22.51%,1.38%,10.90%,7.49%,1.13%,9.15%
149,7.92%,40.39%,22.20%,1.33%,11.10%,7.66%,1.10%,8.29%
150,10.75%,39.71%,22.37%,1.33%,9.65%,7.80%,1.10%,7.29%
151,0.00%,52.88%,18.82%,1.35%,11.23%,4.35%,1.11%,10.25%
152,12.11%,40.93%,18.76%,1.30%,11.37%,5.98%,1.07%,8.47%
153,11.17%,44.58%,18.78%,1.30%,10.06%,5.67%,1.07%,7.37%
154,2.92%,44.49%,26.32%,1.33%,10.33%,5.32%,1.10%,8.19%
155,11.55%,35.88%,26.28%,1.29%,10.46%,5.60%,1.06%,7.87%
156,11.17%,38.72%,25.91%,1.29%,9.27%,5.54%,1.06%,7.04%
157,3.38%,48.01%,21.98%,1.30%,10.49%,4.85%,1.07%,8.92%
158,10.78%,40.91%,21.85%,1.25%,10.69%,5.19%,1.03%,8.29%
159,16.25%,37.53%,22.00%,1.25%,9.36%,5.25%,1.03%,7.32%
160,0.00%,53.18%,20.28%,1.28%,10.67%,4.07%,1.05%,9.48%
161,11.90%,43.09%,19.64%,1.24%,10.89%,4.39%,1.02%,7.83%
162,13.71%,42.96%,19.92%,1.24%,9.60%,4.44%,1.02%,7.12%
163,10.13%,40.60%,24.85%,1.26%,10.04%,3.94%,1.04%,8.14%
164,15.51%,34.92%,25.17%,1.22%,10.32%,4.24%,1.00%,7.62%
165,16.68%,36.14%,25.60%,1.22%,8.88%,4.50%,1.01%,5.97%
166,6.78%,47.50%,20.98%,1.23%,10.21%,3.21%,1.02%,9.07%
167,13.80%,41.48%,20.72%,1.20%,10.52%,3.30%,0.99%,8.00%
168,16.67%,40.19%,21.43%,1.20%,8.99%,3.73%,0.99%,6.81%
169,1.59%,53.25%,20.09%,1.22%,10.42%,2.69%,1.01%,9.73%
170,11.21%,44.70%,20.09%,1.19%,10.55%,3.45%,0.98%,7.83%
171,13.00%,44.59%,20.26%,1.18%,9.29%,3.61%,0.98%,7.10%
172,15.46%,37.88%,23.38%,1.21%,9.86%,3.15%,0.99%,8.06%
173,16.24%,37.58%,22.92%,1.17%,10.16%,3.30%,0.96%,7.67%
174,16.28%,39.11%,24.16%,1.17%,8.68%,3.67%,0.96%,5.96%
175,10.77%,45.17%,20.42%,1.19%,9.96%,2.70%,0.98%,8.80%
176,15.03%,41.13%,20.87%,1.16%,10.04%,3.04%,0.95%,7.79%
177,14.73%,42.95%,21.18%,1.15%,8.69%,3.10%,0.95%,7.26%
178,5.03%,52.18%,19.22%,1.18%,10.17%,1.88%,0.97%,9.37%
179,11.67%,46.35%,19.27%,1.15%,10.26%,2.32%,0.94%,8.06%
180,11.56%,47.12%,20.04%,1.14%,8.95%,2.60%,0.94%,7.64%
181,0.00%,38.75%,26.00%,1.60%,11.49%,11.80%,1.31%,9.05%
182,0.00%,40.63%,25.07%,1.54%,11.40%,11.58%,1.27%,8.52%
183,0.00%,42.57%,24.86%,1.53%,10.22%,11.67%,1.26%,7.90%
184,0.00%,42.53%,22.23%,1.50%,11.35%,11.78%,1.24%,9.38%
185,0.00%,43.53%,21.34%,1.45%,11.62%,11.45%,1.19%,9.42%
186,0.00%,46.30%,21.62%,1.45%,10.12%,11.86%,1.19%,7.46%
187,0.00%,49.22%,17.84%,1.45%,11.72%,8.02%,1.19%,10.56%
188,0.00%,49.68%,17.63%,1.40%,11.83%,9.34%,1.15%,8.97%
189,0.00%,52.41%,17.60%,1.40%,10.46%,9.45%,1.15%,7.54%
190,0.00%,41.69%,28.06%,1.44%,10.65%,8.76%,1.19%,8.21%
191,0.00%,44.07%,26.37%,1.39%,10.80%,7.70%,1.14%,8.53%
192,0.00%,46.25%,26.20%,1.38%,9.66%,7.67%,1.14%,7.70%
193,0.00%,47.45%,22.52%,1.38%,10.88%,7.49%,1.13%,9.15%
194,0.00%,48.56%,22.05%,1.33%,11.05%,7.57%,1.10%,8.35%
195,0.00%,50.84%,22.28%,1.33%,9.57%,7.77%,1.10%,7.12%
196,0.00%,52.91%,18.84%,1.35%,11.18%,4.35%,1.11%,10.26%
197,0.00%,53.11%,18.92%,1.30%,11.18%,5.81%,1.07%,8.59%
198,0.00%,54.83%,19.17%,1.30%,9.92%,6.08%,1.07%,7.63%
199,0.00%,47.15%,26.49%,1.33%,10.31%,5.47%,1.10%,8.15%
