"hour","offshore","onshore","pv","river","lake","biogas","gas","phs","battery","methanation","demand","Pump","ElecStr","CH4","Bat_SOC","PHS_SOC","CH4_SOC","elec_price","gas_price"
"0",10.93,40.80,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,28.69,-9.30,-7.35,-7.66,31.75,82.95,1813.37,0.00,0.00
"1",0.00,42.09,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,31.21,-4.52,0.00,-7.66,38.37,91.78,1817.90,0.00,0.00
"2",11.12,31.67,0.00,0.00,0.00,0.00,0.00,1.87,0.00,0.00,27.70,-9.30,0.00,-7.66,38.37,96.08,1822.42,0.00,0.00
"3",0.00,43.18,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,27.99,-8.65,0.00,-7.66,38.37,102.84,1826.94,0.00,0.00
"4",2.17,42.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.16,-9.30,0.00,-7.66,38.37,111.06,1831.46,0.00,0.00
"5",0.00,43.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.02,-7.47,0.00,-7.66,38.37,119.89,1835.98,0.00,0.00
"6",1.46,43.29,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,29.00,-9.30,0.00,-7.66,38.37,126.99,1840.50,0.00,0.00
"7",10.22,43.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.78,-9.30,-8.87,-7.66,38.37,135.82,1845.02,0.00,0.00
"8",10.19,42.93,7.38,1.19,0.00,0.00,0.00,0.00,0.00,0.00,31.14,-9.30,-13.60,-7.66,46.35,144.66,1849.54,0.00,0.00
"9",10.06,41.00,19.11,1.31,0.00,0.00,0.00,0.00,0.00,0.00,37.23,-9.30,-17.28,-7.66,58.59,153.49,1854.06,0.00,0.00
"10",0.00,27.56,29.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.06,-9.30,0.00,-7.66,74.14,162.33,1858.58,0.00,0.00
"11",0.00,26.91,33.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.68,-9.30,0.00,-7.66,74.14,171.17,1863.10,0.00,0.00
"12",10.10,41.35,0.00,1.29,0.00,0.00,0.00,1.66,0.00,0.00,46.73,0.00,0.00,-7.66,74.14,180.00,1867.63,0.00,0.00
"13",10.22,10.95,25.23,0.00,0.00,0.00,0.00,9.30,0.00,0.00,44.52,-3.52,0.00,-7.66,74.14,178.16,1872.15,0.00,0.00
"14",10.35,28.77,14.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.07,-9.30,0.00,-7.66,74.14,171.17,1876.67,0.00,0.00
"15",0.00,41.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.46,0.00,0.00,-7.66,74.14,180.00,1881.19,0.00,0.00
"16",0.00,39.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.38,0.00,0.00,-7.66,74.14,180.00,1885.71,0.00,0.00
"17",0.00,41.26,0.00,0.00,0.00,0.00,0.00,7.95,0.00,0.00,32.25,-9.30,0.00,-7.66,74.14,180.00,1890.23,0.00,0.00
"18",10.56,29.68,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,34.03,0.00,0.00,-7.66,74.14,180.00,1894.75,0.00,0.00
"19",10.38,34.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.01,0.00,0.00,-7.66,74.14,180.00,1899.27,0.00,0.00
"20",10.17,36.14,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,40.36,0.00,0.00,-7.66,74.14,180.00,1903.79,0.00,0.00
"21",6.31,37.80,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,37.94,0.00,0.00,-7.66,74.14,180.00,1908.31,0.00,0.00
"22",6.58,36.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.63,0.00,0.00,-7.66,74.14,180.00,1912.83,0.00,0.00
"23",2.43,35.14,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,31.30,0.00,0.00,-7.66,74.14,180.00,1917.36,0.00,0.00
"24",4.76,33.74,0.00,1.31,0.00,0.00,0.00,0.00,0.00,0.00,32.15,0.00,0.00,-7.66,74.14,180.00,1921.88,0.00,0.00
"25",8.41,32.58,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,34.47,0.00,0.00,-7.66,74.14,180.00,1926.40,0.00,0.00
"26",8.11,30.36,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,31.91,0.00,0.00,-7.66,74.14,180.00,1930.92,0.00,0.00
"27",7.88,31.23,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,31.55,0.00,0.00,-7.66,74.14,180.00,1935.44,0.00,0.00
"28",7.59,30.20,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,31.29,0.00,0.00,-7.66,74.14,180.00,1939.96,0.00,0.00
"29",7.17,30.31,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,30.09,0.00,0.00,-7.66,74.14,180.00,1944.48,0.00,0.00
"30",6.58,28.58,0.00,1.21,0.00,0.00,0.00,2.69,0.00,0.00,31.40,0.00,0.00,-7.66,74.14,180.00,1949.00,0.00,0.00
"31",5.89,26.48,1.26,1.18,0.00,0.00,0.00,8.01,0.00,0.00,35.17,0.00,0.00,-7.66,74.14,177.01,1953.52,0.00,0.00
"32",5.10,23.15,12.50,1.23,0.00,0.00,0.00,1.50,0.00,0.00,35.83,0.00,0.00,-7.66,74.14,168.11,1958.04,0.00,0.00
"33",3.99,19.26,26.35,1.33,0.00,0.00,0.00,0.00,0.00,0.00,39.43,-3.83,0.00,-7.66,74.14,166.44,1962.57,0.00,0.00
"34",2.86,17.86,41.06,1.43,0.00,0.00,0.00,0.00,0.00,0.00,51.43,-4.12,0.00,-7.66,74.14,170.08,1967.09,0.00,0.00
"35",2.11,18.18,41.80,1.50,0.00,0.00,0.00,0.00,0.00,0.00,55.94,0.00,0.00,-7.66,74.14,174.00,1971.61,0.00,0.00
"36",1.66,17.56,51.64,1.58,0.00,0.00,0.00,0.00,0.00,0.00,59.58,-5.20,0.00,-7.66,74.14,174.00,1976.13,0.00,0.00
"37",1.56,18.54,44.89,1.62,0.00,0.00,0.00,0.00,0.00,0.00,57.83,-1.11,0.00,-7.66,74.14,178.94,1980.65,0.00,0.00
"38",1.60,18.26,32.11,1.46,0.00,0.84,0.84,0.00,0.00,0.00,54.27,0.00,0.00,0.00,74.14,180.00,1985.17,141.13,-141.13
"39",1.73,19.49,10.85,1.43,0.00,17.35,17.35,0.00,0.00,0.00,50.85,0.00,0.00,0.00,74.14,180.00,1985.17,141.13,-141.13
"40",1.74,20.60,0.05,1.59,13.00,0.00,3.23,0.00,0.00,3.23,40.21,0.00,0.00,0.00,74.14,180.00,1985.17,141.13,-141.13
"41",1.54,19.71,0.00,1.90,5.42,0.00,12.00,0.00,0.00,12.00,40.58,0.00,0.00,0.00,74.14,180.00,1977.99,141.13,-141.13
"42",1.26,17.60,0.00,2.24,0.00,0.00,24.86,0.00,0.00,24.86,45.96,0.00,0.00,0.00,74.14,180.00,1951.32,141.13,-141.13
"43",1.01,15.32,0.00,2.49,0.00,0.00,30.46,0.00,0.00,30.46,49.29,0.00,0.00,0.00,74.14,180.00,1896.07,141.13,-141.13
"44",0.86,13.39,0.00,2.43,0.00,0.00,27.19,0.00,0.00,27.19,43.87,0.00,0.00,0.00,74.14,180.00,1828.38,141.13,-141.13
"45",0.71,12.11,0.00,2.12,0.00,0.00,28.24,0.00,0.00,28.24,43.17,0.00,0.00,0.00,74.14,180.00,1767.95,141.13,-141.13
"46",0.55,11.31,0.00,1.93,0.00,0.00,30.50,0.00,0.00,30.50,44.28,0.00,0.00,0.00,74.14,180.00,1705.21,141.13,-141.13
"47",0.47,11.10,0.00,1.93,0.00,0.00,27.46,0.00,0.00,27.46,40.97,0.00,0.00,0.00,74.14,180.00,1637.44,141.13,-141.13
"48",0.46,11.21,0.00,1.90,0.00,0.00,27.77,0.00,0.00,27.77,41.35,0.00,0.00,0.00,74.14,180.00,1576.41,141.13,-141.13
