scen,state,cost,opt_cost,regret,regret_share,offshore_gene,onshore_gene,PV_gene,battery_gene,methanation_gene,LCOE1,LCOE2,LC,str_loss,Price,Regret%,
158,1,16.14,15.38,0.76,0.04708798,56.93,227.67,173.85,8.85,11.88,27.19,37.88,15.45,6.98,22.63,mean,0.044796074
158,2,16.69,15.9,0.79,0.047333733,56.93,227.67,173.85,8.85,11.88,28.2,39.18,15.45,6.98,22.63,Median,0.041870582
158,3,17.24,16.2,1.04,0.060324826,56.93,227.67,173.85,8.85,11.88,29.21,40.49,15.45,6.98,22.63,3rd Quartile,0.058114169
158,4,16.34,16.06,0.28,0.017135863,56.93,227.67,173.85,6.78,11.61,27.49,38.35,15.82,6.76,26.41,1st Quartile,0.026566352
158,5,16.89,16.59,0.3,0.017761989,56.93,227.67,173.85,6.78,11.61,28.5,39.66,15.82,6.76,26.41,LCOE,
158,6,17.44,16.86,0.58,0.033256881,56.93,227.67,173.85,6.78,11.61,29.51,40.96,15.82,6.76,26.41,mean,51.65809524
158,7,16.53,16.31,0.22,0.013309135,56.93,227.67,173.85,6.78,11.61,27.84,38.8,15.82,6.76,30.25,median,51.66
158,8,17.08,16.88,0.2,0.011709602,56.93,227.67,173.85,6.78,11.61,28.85,40.11,15.82,6.76,30.25,3rd quartile,56.065
158,9,17.63,17.17,0.46,0.026091889,56.93,227.67,173.85,6.78,11.61,29.86,41.41,15.82,6.76,30.25,1st quartile,47.235
158,10,17.28,16.83,0.45,0.026041667,56.93,227.67,173.85,8.82,11.88,29.28,40.58,15.46,6.97,22.64,,
158,11,17.83,17.34,0.49,0.027481772,56.93,227.67,173.85,8.82,11.88,30.29,41.88,15.46,6.97,22.64,,
158,12,18.39,17.62,0.77,0.041870582,56.93,227.67,173.85,8.82,11.88,31.3,43.21,15.46,6.97,22.64,,
158,13,17.48,17.23,0.25,0.014302059,56.93,227.67,173.85,6.78,11.61,29.58,41.05,15.82,6.76,26.41,,
158,14,18.03,17.8,0.23,0.012756517,56.93,227.67,173.85,6.78,11.61,30.59,42.36,15.82,6.76,26.41,,
158,15,18.58,18.08,0.5,0.026910657,56.93,227.67,173.85,6.78,11.61,31.6,43.66,15.82,6.76,26.41,,
158,16,17.67,17.41,0.26,0.014714205,56.93,227.67,173.85,6.78,11.61,29.93,41.5,15.82,6.76,30.25,,
158,17,18.22,18,0.22,0.012074643,56.93,227.67,173.85,6.78,11.61,30.94,42.81,15.82,6.76,30.25,,
158,18,18.77,18.3,0.47,0.025039957,56.93,227.67,173.85,6.78,11.61,31.95,44.11,15.82,6.76,30.25,,
