scen,offshore,onshore,pv,battery,methanation,offshore,onshore,pv,battery,methanation
1,143.9889646,84.68328488,20.5668,5.316987546,71.70543182,-25%,-25%,-50%,-50%,-50%
2,143.9889646,84.68328488,20.5668,5.316987546,143.4108636,-25%,-25%,-50%,-50%,central
3,143.9889646,84.68328488,20.5668,5.316987546,215.1162955,-25%,-25%,-50%,-50%,50%
4,143.9889646,84.68328488,20.5668,10.63397509,71.70543182,-25%,-25%,-50%,central,-50%
5,143.9889646,84.68328488,20.5668,10.63397509,143.4108636,-25%,-25%,-50%,central,central
6,143.9889646,84.68328488,20.5668,10.63397509,215.1162955,-25%,-25%,-50%,central,50%
7,143.9889646,84.68328488,20.5668,15.95096264,71.70543182,-25%,-25%,-50%,50%,-50%
8,143.9889646,84.68328488,20.5668,15.95096264,143.4108636,-25%,-25%,-50%,50%,central
9,143.9889646,84.68328488,20.5668,15.95096264,215.1162955,-25%,-25%,-50%,50%,50%
10,143.9889646,84.68328488,29.89909335,5.316987546,71.70543182,-25%,-25%,-25%,-50%,-50%
11,143.9889646,84.68328488,29.89909335,5.316987546,143.4108636,-25%,-25%,-25%,-50%,central
12,143.9889646,84.68328488,29.89909335,5.316987546,215.1162955,-25%,-25%,-25%,-50%,50%
13,143.9889646,84.68328488,29.89909335,10.63397509,71.70543182,-25%,-25%,-25%,central,-50%
14,143.9889646,84.68328488,29.89909335,10.63397509,143.4108636,-25%,-25%,-25%,central,central
15,143.9889646,84.68328488,29.89909335,10.63397509,215.1162955,-25%,-25%,-25%,central,50%
16,143.9889646,84.68328488,29.89909335,15.95096264,71.70543182,-25%,-25%,-25%,50%,-50%
17,143.9889646,84.68328488,29.89909335,15.95096264,143.4108636,-25%,-25%,-25%,50%,central
18,143.9889646,84.68328488,29.89909335,15.95096264,215.1162955,-25%,-25%,-25%,50%,50%
19,143.9889646,84.68328488,39.23139049,5.316987546,71.70543182,-25%,-25%,central,-50%,-50%
20,143.9889646,84.68328488,39.23139049,5.316987546,143.4108636,-25%,-25%,central,-50%,central
21,143.9889646,84.68328488,39.23139049,5.316987546,215.1162955,-25%,-25%,central,-50%,50%
22,143.9889646,84.68328488,39.23139049,10.63397509,71.70543182,-25%,-25%,central,central,-50%
23,143.9889646,84.68328488,39.23139049,10.63397509,143.4108636,-25%,-25%,central,central,central
24,143.9889646,84.68328488,39.23139049,10.63397509,215.1162955,-25%,-25%,central,central,50%
25,143.9889646,84.68328488,39.23139049,15.95096264,71.70543182,-25%,-25%,central,50%,-50%
26,143.9889646,84.68328488,39.23139049,15.95096264,143.4108636,-25%,-25%,central,50%,central
27,143.9889646,84.68328488,39.23139049,15.95096264,215.1162955,-25%,-25%,central,50%,50%
28,143.9889646,84.68328488,48.56368762,5.316987546,71.70543182,-25%,-25%,25%,-50%,-50%
29,143.9889646,84.68328488,48.56368762,5.316987546,143.4108636,-25%,-25%,25%,-50%,central
30,143.9889646,84.68328488,48.56368762,5.316987546,215.1162955,-25%,-25%,25%,-50%,50%
31,143.9889646,84.68328488,48.56368762,10.63397509,71.70543182,-25%,-25%,25%,central,-50%
32,143.9889646,84.68328488,48.56368762,10.63397509,143.4108636,-25%,-25%,25%,central,central
33,143.9889646,84.68328488,48.56368762,10.63397509,215.1162955,-25%,-25%,25%,central,50%
34,143.9889646,84.68328488,48.56368762,15.95096264,71.70543182,-25%,-25%,25%,50%,-50%
35,143.9889646,84.68328488,48.56368762,15.95096264,143.4108636,-25%,-25%,25%,50%,central
36,143.9889646,84.68328488,48.56368762,15.95096264,215.1162955,-25%,-25%,25%,50%,50%
37,143.9889646,84.68328488,57.89598475,5.316987546,71.70543182,-25%,-25%,50%,-50%,-50%
38,143.9889646,84.68328488,57.89598475,5.316987546,143.4108636,-25%,-25%,50%,-50%,central
39,143.9889646,84.68328488,57.89598475,5.316987546,215.1162955,-25%,-25%,50%,-50%,50%
40,143.9889646,84.68328488,57.89598475,10.63397509,71.70543182,-25%,-25%,50%,central,-50%
41,143.9889646,84.68328488,57.89598475,10.63397509,143.4108636,-25%,-25%,50%,central,central
42,143.9889646,84.68328488,57.89598475,10.63397509,215.1162955,-25%,-25%,50%,central,50%
43,143.9889646,84.68328488,57.89598475,15.95096264,71.70543182,-25%,-25%,50%,50%,-50%
44,143.9889646,84.68328488,57.89598475,15.95096264,143.4108636,-25%,-25%,50%,50%,central
45,143.9889646,84.68328488,57.89598475,15.95096264,215.1162955,-25%,-25%,50%,50%,50%
46,191.3995384,84.68328488,20.5668,5.316987546,71.70543182,central,-25%,-50%,-50%,-50%
47,191.3995384,84.68328488,20.5668,5.316987546,143.4108636,central,-25%,-50%,-50%,central
48,191.3995384,84.68328488,20.5668,5.316987546,215.1162955,central,-25%,-50%,-50%,50%
49,191.3995384,84.68328488,20.5668,10.63397509,71.70543182,central,-25%,-50%,central,-50%
50,191.3995384,84.68328488,20.5668,10.63397509,143.4108636,central,-25%,-50%,central,central
51,191.3995384,84.68328488,20.5668,10.63397509,215.1162955,central,-25%,-50%,central,50%
52,191.3995384,84.68328488,20.5668,15.95096264,71.70543182,central,-25%,-50%,50%,-50%
53,191.3995384,84.68328488,20.5668,15.95096264,143.4108636,central,-25%,-50%,50%,central
54,191.3995384,84.68328488,20.5668,15.95096264,215.1162955,central,-25%,-50%,50%,50%
55,191.3995384,84.68328488,29.89909335,5.316987546,71.70543182,central,-25%,-25%,-50%,-50%
56,191.3995384,84.68328488,29.89909335,5.316987546,143.4108636,central,-25%,-25%,-50%,central
57,191.3995384,84.68328488,29.89909335,5.316987546,215.1162955,central,-25%,-25%,-50%,50%
58,191.3995384,84.68328488,29.89909335,10.63397509,71.70543182,central,-25%,-25%,central,-50%
59,191.3995384,84.68328488,29.89909335,10.63397509,143.4108636,central,-25%,-25%,central,central
60,191.3995384,84.68328488,29.89909335,10.63397509,215.1162955,central,-25%,-25%,central,50%
61,191.3995384,84.68328488,29.89909335,15.95096264,71.70543182,central,-25%,-25%,50%,-50%
62,191.3995384,84.68328488,29.89909335,15.95096264,143.4108636,central,-25%,-25%,50%,central
63,191.3995384,84.68328488,29.89909335,15.95096264,215.1162955,central,-25%,-25%,50%,50%
64,191.3995384,84.68328488,39.23139049,5.316987546,71.70543182,central,-25%,central,-50%,-50%
65,191.3995384,84.68328488,39.23139049,5.316987546,143.4108636,central,-25%,central,-50%,central
66,191.3995384,84.68328488,39.23139049,5.316987546,215.1162955,central,-25%,central,-50%,50%
67,191.3995384,84.68328488,39.23139049,10.63397509,71.70543182,central,-25%,central,central,-50%
68,191.3995384,84.68328488,39.23139049,10.63397509,143.4108636,central,-25%,central,central,central
69,191.3995384,84.68328488,39.23139049,10.63397509,215.1162955,central,-25%,central,central,50%
70,191.3995384,84.68328488,39.23139049,15.95096264,71.70543182,central,-25%,central,50%,-50%
71,191.3995384,84.68328488,39.23139049,15.95096264,143.4108636,central,-25%,central,50%,central
72,191.3995384,84.68328488,39.23139049,15.95096264,215.1162955,central,-25%,central,50%,50%
73,191.3995384,84.68328488,48.56368762,5.316987546,71.70543182,central,-25%,25%,-50%,-50%
74,191.3995384,84.68328488,48.56368762,5.316987546,143.4108636,central,-25%,25%,-50%,central
75,191.3995384,84.68328488,48.56368762,5.316987546,215.1162955,central,-25%,25%,-50%,50%
76,191.3995384,84.68328488,48.56368762,10.63397509,71.70543182,central,-25%,25%,central,-50%
77,191.3995384,84.68328488,48.56368762,10.63397509,143.4108636,central,-25%,25%,central,central
78,191.3995384,84.68328488,48.56368762,10.63397509,215.1162955,central,-25%,25%,central,50%
79,191.3995384,84.68328488,48.56368762,15.95096264,71.70543182,central,-25%,25%,50%,-50%
80,191.3995384,84.68328488,48.56368762,15.95096264,143.4108636,central,-25%,25%,50%,central
81,191.3995384,84.68328488,48.56368762,15.95096264,215.1162955,central,-25%,25%,50%,50%
82,191.3995384,84.68328488,57.89598475,5.316987546,71.70543182,central,-25%,50%,-50%,-50%
83,191.3995384,84.68328488,57.89598475,5.316987546,143.4108636,central,-25%,50%,-50%,central
84,191.3995384,84.68328488,57.89598475,5.316987546,215.1162955,central,-25%,50%,-50%,50%
85,191.3995384,84.68328488,57.89598475,10.63397509,71.70543182,central,-25%,50%,central,-50%
86,191.3995384,84.68328488,57.89598475,10.63397509,143.4108636,central,-25%,50%,central,central
87,191.3995384,84.68328488,57.89598475,10.63397509,215.1162955,central,-25%,50%,central,50%
88,191.3995384,84.68328488,57.89598475,15.95096264,71.70543182,central,-25%,50%,50%,-50%
89,191.3995384,84.68328488,57.89598475,15.95096264,143.4108636,central,-25%,50%,50%,central
90,191.3995384,84.68328488,57.89598475,15.95096264,215.1162955,central,-25%,50%,50%,50%
91,143.9889646,112.2098103,20.5668,5.316987546,71.70543182,-25%,central,-50%,-50%,-50%
92,143.9889646,112.2098103,20.5668,5.316987546,143.4108636,-25%,central,-50%,-50%,central
93,143.9889646,112.2098103,20.5668,5.316987546,215.1162955,-25%,central,-50%,-50%,50%
94,143.9889646,112.2098103,20.5668,10.63397509,71.70543182,-25%,central,-50%,central,-50%
95,143.9889646,112.2098103,20.5668,10.63397509,143.4108636,-25%,central,-50%,central,central
96,143.9889646,112.2098103,20.5668,10.63397509,215.1162955,-25%,central,-50%,central,50%
97,143.9889646,112.2098103,20.5668,15.95096264,71.70543182,-25%,central,-50%,50%,-50%
98,143.9889646,112.2098103,20.5668,15.95096264,143.4108636,-25%,central,-50%,50%,central
99,143.9889646,112.2098103,20.5668,15.95096264,215.1162955,-25%,central,-50%,50%,50%
100,143.9889646,112.2098103,29.89909335,5.316987546,71.70543182,-25%,central,-25%,-50%,-50%
101,143.9889646,112.2098103,29.89909335,5.316987546,143.4108636,-25%,central,-25%,-50%,central
102,143.9889646,112.2098103,29.89909335,5.316987546,215.1162955,-25%,central,-25%,-50%,50%
103,143.9889646,112.2098103,29.89909335,10.63397509,71.70543182,-25%,central,-25%,central,-50%
104,143.9889646,112.2098103,29.89909335,10.63397509,143.4108636,-25%,central,-25%,central,central
105,143.9889646,112.2098103,29.89909335,10.63397509,215.1162955,-25%,central,-25%,central,50%
106,143.9889646,112.2098103,29.89909335,15.95096264,71.70543182,-25%,central,-25%,50%,-50%
107,143.9889646,112.2098103,29.89909335,15.95096264,143.4108636,-25%,central,-25%,50%,central
108,143.9889646,112.2098103,29.89909335,15.95096264,215.1162955,-25%,central,-25%,50%,50%
109,143.9889646,112.2098103,39.23139049,5.316987546,71.70543182,-25%,central,central,-50%,-50%
110,143.9889646,112.2098103,39.23139049,5.316987546,143.4108636,-25%,central,central,-50%,central
111,143.9889646,112.2098103,39.23139049,5.316987546,215.1162955,-25%,central,central,-50%,50%
112,143.9889646,112.2098103,39.23139049,10.63397509,71.70543182,-25%,central,central,central,-50%
113,143.9889646,112.2098103,39.23139049,10.63397509,143.4108636,-25%,central,central,central,central
114,143.9889646,112.2098103,39.23139049,10.63397509,215.1162955,-25%,central,central,central,50%
