scen,cost,offshore,onshore,PV,biogas,battery_dch,methanation_dch,battery_ch,methaantion_ch,battery_v,methanation_v,offshore_gene,onshore_gene,PV_gene,battery_gene,PHS_gene,methanation_gene,LCOE1,LCOE2,marginal_cost,LC,str_loss
1,15.38,3.22,68.21,182.88,27.77,30.94,27.77,30.94,9.51,176.64,23583.48,14.83,194.03,260.06,40.93,24.93,12.04,29.09,36.42,37.72,11.74,8.41
2,15.9,11.54,62.95,172.8,27.99,28.46,27.99,28.46,5.28,168.89,16493.84,53.1,179.05,245.73,30.81,27.58,8.18,29.56,37.64,38.75,15.43,6.05
3,16.2,15.3,62.56,171.56,27.92,27.72,27.92,27.72,2.92,166.97,10551.73,70.4,177.94,243.96,23.42,29.23,4.96,29.34,38.36,39.52,19.42,4.1
4,16.06,0,89.52,147.57,32.26,21.38,32.26,21.38,10.5,85.09,18515.93,0,254.63,209.84,19.87,25.3,12.37,30.62,38.02,41.39,11.48,7.99
5,16.59,6.78,84.41,147.37,32.39,21.42,32.39,21.42,5.47,82.27,13027.51,31.19,240.11,209.56,16.43,29.75,8.11,30.67,39.27,42.32,16.31,5.59
6,16.86,11.86,80.5,149.1,31.97,22.05,31.97,22.05,2.71,88.39,8422.58,54.57,228.97,212.01,13.13,31.38,4.49,30.34,39.91,43.07,20.38,3.6
7,16.31,0,97.81,132.3,34.91,17.78,34.91,17.78,12.3,36.54,17097.12,0,278.22,188.13,8.9,25.7,13.72,30.99,38.61,42.38,11.43,8.33
8,16.88,9.03,90.85,130.88,34.65,18.23,34.65,18.23,5.21,39.74,11454.37,41.56,258.41,186.1,7.91,27.54,7.71,30.91,39.97,44.81,17.65,5.01
9,17.17,14.51,86.87,132.12,34.47,18.59,34.47,18.59,2.55,41.6,7097.84,66.78,247.1,187.88,6.14,28.39,4.2,30.59,40.66,45.26,21.65,3.11
10,16.83,5.35,82.45,133.1,30.2,23.17,30.2,23.17,10.23,120.72,18876.51,24.64,234.53,189.27,22.35,24.72,12.26,33.09,39.83,41.3,8.69,8.24
11,17.34,12.61,74.3,137,29.44,24.39,29.44,24.39,5.18,134.54,13806.1,58.02,211.34,194.81,20.12,27.14,7.91,33.09,41.06,42.61,13.72,5.7
12,17.62,18.63,71.55,132.47,29.59,24.14,29.59,24.14,2.65,129.32,8604.04,85.73,203.51,188.37,13.45,28.91,4.35,32.78,41.72,42.92,17.86,3.57
13,17.23,6.73,94.06,109.24,34.61,17.33,34.61,17.33,11.16,39.66,15929.97,30.98,267.55,155.34,7.78,24.34,12.64,33.54,40.8,44.5,9.94,7.87
14,17.8,15.35,83.22,113.99,34.35,18.18,34.35,18.18,5.81,46.74,12028.52,70.67,236.72,162.1,7.95,26.1,8.24,33.61,42.14,45.74,14.84,5.39
15,18.08,19.38,82.17,115.45,33.61,18.99,33.61,18.99,2.44,55.52,7087.02,89.19,233.74,164.17,6.71,27.36,4.05,33.07,42.8,46.48,19.63,3.11
16,17.41,0,108.65,104.75,36.38,14.79,36.38,14.79,11.94,23.13,15158.4,0,309.06,148.95,4.67,23.87,13.39,33.61,41.22,44.93,10.38,8.08
17,18,9.8,98.13,106.49,36.28,15.34,36.28,15.34,5.79,26.49,10686.86,45.09,279.12,151.43,4.41,25.74,8.19,33.61,42.62,46.57,15.97,5.18
18,18.3,11.21,99.85,110.51,35.1,16.59,35.1,16.59,2.86,32.79,6992.24,51.59,284.03,157.15,4.25,26.72,4.57,33.14,43.34,47.4,20.28,3.24
19,17.91,19.63,73.79,99.44,33.14,19.23,33.14,19.23,10.85,71.28,16119.05,90.34,209.88,141.4,10.19,23.4,12.14,35.7,42.39,43.72,7.97,7.83
20,18.45,17.6,80.13,106.1,31.71,20.64,31.71,20.64,5.48,88.65,12362.19,81.03,227.93,150.87,10.72,25.49,7.93,35.5,43.69,45.35,13.35,5.4
21,18.72,18.56,84.12,106.63,31.09,21.09,31.09,21.09,2.66,93.45,8091.43,85.41,239.28,151.63,8.32,26.78,4.35,34.93,44.33,45.69,17.84,3.35
