"hour","offshore","onshore","pv","river","lake","biogas","gas","phs","battery","methanation","demand","Pump","ElecStr","CH4","Bat_SOC","PHS_SOC","CH4_SOC","elec_price","gas_price"
"0",14.66,50.77,0.00,1.27,0.00,0.00,0.00,1.99,0.00,0.00,60.17,0.00,0.00,-8.52,0.00,69.39,8203.50,0.00,0.00
"1",14.91,52.38,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,56.68,-3.39,0.00,-8.52,0.00,67.18,8208.53,0.00,0.00
"2",14.91,53.38,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,55.78,-5.09,0.00,-8.52,0.00,70.40,8213.56,0.00,0.00
"3",14.80,53.74,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,53.16,-7.97,0.00,-8.52,0.00,75.24,8218.59,0.00,0.00
"4",14.44,53.46,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,50.21,-9.30,0.00,-8.52,0.00,82.81,8223.62,0.00,0.00
"5",14.11,53.71,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,48.66,-9.30,0.00,-8.52,0.00,91.65,8228.65,0.00,0.00
"6",13.91,53.87,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,48.74,-9.30,0.00,-8.52,0.00,100.48,8233.68,0.00,0.00
"7",13.70,54.01,0.46,1.18,0.00,0.00,0.00,0.00,0.00,0.00,49.11,-9.30,0.00,-8.52,0.00,109.32,8238.71,0.00,0.00
"8",13.66,53.43,6.96,1.19,0.00,0.00,0.00,0.00,0.00,0.00,49.55,-9.30,0.00,-8.52,0.00,118.15,8243.74,0.00,0.00
"9",13.49,51.02,18.02,1.31,0.00,0.00,0.00,0.00,0.00,0.00,48.94,-9.30,0.00,-8.52,0.00,126.99,8248.77,0.00,0.00
"10",13.33,49.94,27.78,1.38,0.00,0.00,0.00,0.00,0.00,0.00,50.52,-9.30,-9.92,-8.52,0.00,135.82,8253.80,0.00,0.00
"11",13.40,51.22,31.80,1.38,0.00,0.00,0.00,0.00,0.00,0.00,52.33,-9.30,-25.67,-8.52,8.92,144.66,8258.83,0.00,0.00
"12",13.55,51.46,30.69,1.29,0.00,0.00,0.00,0.00,0.00,0.00,54.33,-9.30,-24.82,-8.52,32.03,153.49,8263.86,0.00,0.00
"13",13.71,51.29,23.78,1.36,0.00,0.00,0.00,0.00,0.00,0.00,56.74,0.00,-24.87,-8.52,54.37,162.33,8268.89,0.00,0.00
"14",13.87,50.73,14.06,1.25,0.00,0.00,0.00,0.00,0.00,0.00,54.30,-9.30,0.00,-8.52,76.75,162.33,8273.92,0.00,0.00
"15",14.05,51.79,4.03,1.27,0.00,0.00,0.00,0.00,0.00,0.00,52.23,-9.30,0.00,-8.52,76.75,171.17,8278.95,0.00,0.00
"16",14.20,52.63,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,51.66,0.00,-7.90,-8.52,76.75,180.00,8283.98,0.00,0.00
"17",14.25,52.68,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,52.33,0.00,-7.42,-8.52,83.86,180.00,8289.01,0.00,0.00
"18",14.16,51.88,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,56.98,0.00,-1.99,-8.52,90.53,180.00,8294.04,0.00,0.00
"19",13.91,50.70,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,59.25,0.00,0.00,-7.18,92.32,180.00,8299.06,32.50,-32.50
"20",13.63,48.74,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,59.01,0.00,0.00,-5.07,92.32,180.00,8303.30,32.50,-32.50
"21",13.25,47.04,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,57.09,0.00,0.00,-4.69,92.32,180.00,8306.29,32.50,-32.50
"22",12.75,45.69,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,55.11,0.00,0.00,-4.79,92.32,180.00,8309.06,32.50,-32.50
"23",12.14,43.74,0.00,1.39,0.00,0.00,0.00,0.94,0.00,0.00,58.20,0.00,0.00,0.00,92.32,180.00,8311.89,32.50,-32.50
"24",11.65,41.99,0.00,1.31,0.00,0.00,0.00,2.40,0.00,0.00,57.35,0.00,0.00,0.00,92.32,178.95,8311.89,32.50,-32.50
